date,state,district,pincode,bio_age_5_17,bio_age_17_
08-12-2025,Uttar Pradesh,Moradabad,244411,4,2
08-12-2025,Uttar Pradesh,Moradabad,244601,14,19
08-12-2025,Uttar Pradesh,Muzaffarnagar,251002,22,37
08-12-2025,Uttar Pradesh,Muzaffarnagar,251202,4,4
08-12-2025,Uttar Pradesh,Muzaffarnagar,251319,4,7
08-12-2025,Uttar Pradesh,Pilibhit,262001,116,94
08-12-2025,Uttar Pradesh,Pilibhit,262121,13,15
08-12-2025,Uttar Pradesh,Pilibhit,262124,6,9
08-12-2025,Uttar Pradesh,Pratapgarh,229408,1,3
08-12-2025,Uttar Pradesh,Pratapgarh,230001,7,8
08-12-2025,Uttar Pradesh,Pratapgarh,230128,7,9
08-12-2025,Uttar Pradesh,Pratapgarh,230129,4,9
08-12-2025,Uttar Pradesh,Pratapgarh,230144,7,4
08-12-2025,Uttar Pradesh,Pratapgarh,230204,13,22
08-12-2025,Uttar Pradesh,Pratapgarh,230404,2,3
08-12-2025,Uttar Pradesh,Prayagraj,211015,0,1
08-12-2025,Uttar Pradesh,Prayagraj,212106,1,1
08-12-2025,Uttar Pradesh,Prayagraj,212202,2,0
08-12-2025,Uttar Pradesh,Prayagraj,212307,2,1
08-12-2025,Uttar Pradesh,Prayagraj,221508,0,3
08-12-2025,Uttar Pradesh,Rae Bareli,229125,7,9
08-12-2025,Uttar Pradesh,Rae Bareli,229126,2,0
08-12-2025,Uttar Pradesh,Rae Bareli,229215,0,3
08-12-2025,Uttar Pradesh,Rae Bareli,229303,15,17
08-12-2025,Uttar Pradesh,Rampur,244925,16,24
08-12-2025,Uttar Pradesh,Saharanpur,247340,16,11
08-12-2025,Uttar Pradesh,Saharanpur,247451,29,26
08-12-2025,Uttar Pradesh,Saharanpur,247554,40,46
08-12-2025,Uttar Pradesh,Sambhal,202412,21,13
08-12-2025,Uttar Pradesh,Sambhal,202414,16,3
08-12-2025,Uttar Pradesh,Sambhal,202421,21,6
08-12-2025,Uttar Pradesh,Sambhal,202527,17,6
08-12-2025,Uttar Pradesh,Sambhal,244301,28,24
08-12-2025,Uttar Pradesh,Sambhal,244410,0,1
08-12-2025,Uttar Pradesh,Sant Kabir Nagar,272148,2,3
08-12-2025,Uttar Pradesh,Sant Kabir Nagar,272154,4,14
08-12-2025,Uttar Pradesh,Sant Kabir Nagar,272173,7,7
08-12-2025,Uttar Pradesh,Sant Kabir Nagar,272176,8,9
08-12-2025,Uttar Pradesh,Sant Ravidas Nagar,221301,11,14
08-12-2025,Uttar Pradesh,Sant Ravidas Nagar,221309,15,9
08-12-2025,Uttar Pradesh,Sant Ravidas Nagar,221310,4,8
08-12-2025,Uttar Pradesh,Sant Ravidas Nagar,221314,8,10
08-12-2025,Uttar Pradesh,Sant Ravidas Nagar,221406,7,7
08-12-2025,Uttar Pradesh,Sant Ravidas Nagar Bhadohi,221406,1,0
08-12-2025,Uttar Pradesh,Shahjahanpur,242042,10,4
08-12-2025,Uttar Pradesh,Shahjahanpur,242223,13,5
08-12-2025,Uttar Pradesh,Shahjahanpur,242226,1,1
08-12-2025,Uttar Pradesh,Shahjahanpur,242301,35,13
08-12-2025,Uttar Pradesh,Shahjahanpur,242305,15,10
08-12-2025,Uttar Pradesh,Shahjahanpur,242306,15,9
08-12-2025,Uttar Pradesh,Shahjahanpur,242407,28,11
08-12-2025,Uttar Pradesh,Shamli,247773,24,19
08-12-2025,Uttar Pradesh,Shamli,247776,47,48
08-12-2025,Uttar Pradesh,Shamli,251319,1,0
08-12-2025,Uttar Pradesh,Shrawasti,271803,3,8
08-12-2025,Uttar Pradesh,Siddharthnagar,272148,2,2
08-12-2025,Uttar Pradesh,Siddharthnagar,272207,9,13
08-12-2025,Uttar Pradesh,Sitapur,261001,43,49
08-12-2025,Uttar Pradesh,Sitapur,261125,11,8
08-12-2025,Uttar Pradesh,Sitapur,261141,15,23
08-12-2025,Uttar Pradesh,Sitapur,261202,37,8
08-12-2025,Uttar Pradesh,Sitapur,261303,25,26
08-12-2025,Uttar Pradesh,Sonbhadra,231209,1,1
08-12-2025,Uttar Pradesh,Sonbhadra,231221,1,0
08-12-2025,Uttar Pradesh,Sonbhadra,231225,4,3
08-12-2025,Uttar Pradesh,Sultanpur,222301,2,2
08-12-2025,Uttar Pradesh,Sultanpur,222302,42,14
08-12-2025,Uttar Pradesh,Sultanpur,227408,4,10
08-12-2025,Uttar Pradesh,Sultanpur,227812,1,2
08-12-2025,Uttar Pradesh,Sultanpur,228120,3,2
08-12-2025,Uttar Pradesh,Sultanpur,228161,11,8
08-12-2025,Uttar Pradesh,Unnao,209506,2,2
08-12-2025,Uttar Pradesh,Unnao,209863,1,1
08-12-2025,Uttar Pradesh,Unnao,241501,36,25
08-12-2025,Uttar Pradesh,Unnao,241504,43,22
08-12-2025,Uttar Pradesh,Varanasi,221001,59,123
08-12-2025,Uttar Pradesh,Varanasi,221004,1,4
08-12-2025,Uttar Pradesh,Varanasi,221006,0,2
08-12-2025,Uttar Pradesh,Varanasi,221007,43,18
08-12-2025,Uttar Pradesh,Varanasi,221101,28,30
08-12-2025,Uttar Pradesh,Varanasi,221106,3,12
08-12-2025,Uttar Pradesh,Varanasi,221111,1,1
08-12-2025,Uttar Pradesh,Varanasi,221403,8,15
08-12-2025,Uttarakhand,Almora,263636,2,0
08-12-2025,Uttarakhand,Almora,263638,2,1
08-12-2025,Uttarakhand,Almora,263653,12,16
08-12-2025,Uttarakhand,Almora,263660,1,4
08-12-2025,Uttarakhand,Almora,263680,0,2
08-12-2025,Uttarakhand,Bageshwar,263631,3,4
08-12-2025,Uttarakhand,Bageshwar,263633,8,3
08-12-2025,Uttarakhand,Bageshwar,263642,7,8
08-12-2025,Uttarakhand,Bageshwar,263679,3,16
08-12-2025,Uttarakhand,Chamoli,246427,3,6
08-12-2025,Uttarakhand,Chamoli,246435,15,11
